Country,Population
"Afghanistan","38928.341"
"Africa","1340598.113"
"Albania","2877.8"
"Algeria","43851.043"
"American Samoa","55.197"
"Andorra","77.265"
"Angola","32866.268"
"Anguilla","15.002"
"Antigua and Barbuda","97.928"
"Argentina","45195.777"
"Armenia","2963.234"
"Aruba","106.766"
"Asia","4641054.786"
"Australia","25499.881"
"Australia/New Zealand","30322.114"
"Austria","9006.4"
"Azerbaijan","10139.175"
"Bahamas","393.248"
"Bahrain","1701.583"
"Bangladesh","164689.383"
"Barbados","287.371"
"Belarus","9449.321"
"Belgium","11589.616"
"Belize","397.621"
"Benin","12123.198"
"Bermuda","62.273"
"Bhutan","771.612"
"Bolivia (Plurinational State of)","11673.029"
"Bonaire, Sint Eustatius and Saba","26.221"
"Bosnia and Herzegovina","3280.815"
"Botswana","2351.625"
"Brazil","212559.409"
"British Virgin Islands","30.237"
"Brunei Darussalam","437.483"
"Bulgaria","6948.445"
"Burkina Faso","20903.278"
"Burundi","11890.781"
"Cabo Verde","555.988"
"Cambodia","16718.971"
"Cameroon","26545.864"
"Canada","37742.157"
"Caribbean","43532.374"
"Cayman Islands","65.72"
"Central African Republic","4829.764"
"Central America","179670.186"
"Central Asia","74338.926"
"Central and Southern Asia","2014708.531"
"Chad","16425.859"
"Channel Islands","173.859"
"Chile","19116.209"
"China","1439323.774"
"China, Hong Kong SAR","7496.988"
"China, Macao SAR","649.342"
"China, Taiwan Province of China","23816.775"
"Colombia","50882.884"
"Comoros","869.595"
"Congo","5518.092"
"Cook Islands","17.564"
"Costa Rica","5094.114"
"Croatia","4105.268"
"Cuba","11326.616"
"Curaçao","164.1"
"Cyprus","1207.361"
"Czechia","10708.982"
"Côte d'Ivoire","26378.275"
"Dem. People's Republic of Korea","25778.815"
"Democratic Republic of the Congo","89561.404"
"Denmark","5792.203"
"Djibouti","988.002"
"Dominica","71.991"
"Dominican Republic","10847.904"
"Eastern Africa","445405.578"
"Eastern Asia","1678089.627"
"Eastern Europe","293013.21"
"Eastern and South-Eastern Asia","2346709.481"
"Ecuador","17643.06"
"Egypt","102334.403"
"El Salvador","6486.201"
"Equatorial Guinea","1402.985"
"Eritrea","3546.427"
"Estonia","1326.539"
"Eswatini","1160.164"
"Ethiopia","114963.583"
"Europe","747636.045"
"Europe","747636.045"
"Europe and Northern America","1116505.689"
"Falkland Islands (Malvinas)","3.483"
"Faroe Islands","48.865"
"Fiji","896.444"
"Finland","5540.718"
"France","65273.512"
"French Guiana","298.682"
"French Polynesia","280.904"
"Gabon","2225.728"
"Gambia","2416.664"
"Georgia","3989.175"
"Germany","83783.945"
"Ghana","31072.945"
"Gibraltar","33.691"
"Greece","10423.056"
"Greenland","56.772"
"Grenada","112.519"
"Guadeloupe","400.127"
"Guam","168.783"
"Guatemala","17915.567"
"Guinea","13132.792"
"Guinea-Bissau","1967.998"
"Guyana","786.559"
"Haiti","11402.533"
"High-income countries","1263092.934"
"Holy See","0.809"
"Honduras","9904.608"
"Hungary","9660.35"
"Iceland","341.25"
"India","1380004.385"
"Indonesia","273523.621"
"Iran (Islamic Republic of)","83992.953"
"Iraq","40222.503"
"Ireland","4937.796"
"Isle of Man","85.032"
"Israel","8655.541"
"Italy","60461.828"
"Jamaica","2961.161"
"Japan","126476.458"
"Jordan","10203.14"
"Kazakhstan","18776.707"
"Kenya","53771.3"
"Kiribati","119.446"
"Kuwait","4270.563"
"Kyrgyzstan","6524.191"
"Land-locked Developing Countries (LLDC)","533143.398"
"Lao People's Democratic Republic","7275.556"
"Latin America and the Caribbean","653962.332"
"Latin America and the Caribbean","653962.332"
"Latvia","1886.202"
"Least developed countries","1057438.163"
"Lebanon","6825.442"
"Lesotho","2142.252"
"Less developed regions","6521494.468"
"Less developed regions, excluding China","5050207.589"
"Less developed regions, excluding least developed countries","5464056.305"
"Liberia","5057.677"
"Libya","6871.287"
"Liechtenstein","38.137"
"Lithuania","2722.291"
"Low-income countries","775710.612"
"Lower-middle-income countries","3098235.284"
"Luxembourg","625.976"
"Madagascar","27691.019"
"Malawi","19129.955"
"Malaysia","32365.998"
"Maldives","540.542"
"Mali","20250.834"
"Malta","441.539"
"Marshall Islands","59.194"
"Martinique","375.265"
"Mauritania","4649.66"
"Mauritius","1271.767"
"Mayotte","272.813"
"Melanesia","11122.99"
"Mexico","128932.753"
"Micronesia","548.927"
"Micronesia (Fed. States of)","115.021"
"Middle Africa","179595.125"
"Middle-income countries","5753051.615"
"Monaco","39.244"
"Mongolia","3278.292"
"Montenegro","628.062"
"Montserrat","4.999"
"More developed regions","1273304.261"
"Morocco","36910.558"
"Mozambique","31255.435"
"Myanmar","54409.794"
"Namibia","2540.916"
"Nauru","10.834"
"Nepal","29136.808"
"Netherlands","17134.873"
"New Caledonia","285.491"
"New Zealand","4822.233"
"Nicaragua","6624.554"
"Niger","24206.636"
"Nigeria","206139.587"
"Niue","1.618"
"No income group available","2943.568"
"North Macedonia","2083.38"
"Northern Africa","246232.508"
"Northern Africa and Western Asia","525869.282"
"Northern America","368869.644"
"Northern America","368869.644"
"Northern Europe","106261.271"
"Northern Mariana Islands","57.557"
"Norway","5421.242"
"Oceania","42677.809"
"Oceania (excluding Australia and New Zealand)","12355.695"
"Oman","5106.622"
"Pakistan","220892.331"
"Palau","18.092"
"Panama","4314.768"
"Papua New Guinea","8947.027"
"Paraguay","7132.53"
"Peru","32971.846"
"Philippines","109581.085"
"Poland","37846.605"
"Polynesia","683.778"
"Portugal","10196.707"
"Puerto Rico","2860.84"
"Qatar","2881.06"
"Republic of Korea","51269.183"
"Republic of Moldova","4033.963"
"Romania","19237.682"
"Russian Federation","145934.46"
"Rwanda","12952.209"
"Réunion","895.308"
"Saint Barthélemy","9.885"
"Saint Helena","6.071"
"Saint Kitts and Nevis","53.192"
"Saint Lucia","183.629"
"Saint Martin (French part)","38.659"
"Saint Pierre and Miquelon","5.795"
"Saint Vincent and the Grenadines","110.947"
"Samoa","198.41"
"San Marino","33.938"
"Sao Tome and Principe","219.161"
"Saudi Arabia","34813.867"
"Senegal","16743.93"
"Serbia","8737.37"
"Seychelles","98.34"
"Sierra Leone","7976.985"
"Singapore","5850.343"
"Sint Maarten (Dutch part)","42.882"
"Slovakia","5459.643"
"Slovenia","2078.932"
"Small Island Developing States (SIDS)","72076.098"
"Solomon Islands","686.878"
"Somalia","15893.219"
"South Africa","59308.69"
"South America","430759.772"
"South Sudan","11193.729"
"South-Eastern Asia","668619.854"
"Southern Africa","67503.647"
"Southern Asia","1940369.605"
"Southern Europe","152215.243"
"Spain","46754.783"
"Sri Lanka","21413.25"
"State of Palestine","5101.416"
"Sub-Saharan Africa","1094365.605"
"Sudan","43849.269"
"Suriname","586.634"
"Sweden","10099.27"
"Switzerland","8654.618"
"Syrian Arab Republic","17500.657"
"Tajikistan","9537.642"
"Thailand","69799.978"
"Timor-Leste","1318.442"
"Togo","8278.737"
"Tokelau","1.35"
"Tonga","105.697"
"Trinidad and Tobago","1399.491"
"Tunisia","11818.618"
"Turkey","84339.067"
"Turkmenistan","6031.187"
"Turks and Caicos Islands","38.718"
"Tuvalu","11.792"
"Uganda","45741"
"Ukraine","43733.759"
"United Arab Emirates","9890.4"
"United Kingdom","67886.004"
"United Republic of Tanzania","59734.213"
"United States Virgin Islands","104.423"
"United States of America","331002.647"
"Upper-middle-income countries","2654816.331"
"Uruguay","3473.727"
"Uzbekistan","33469.199"
"Vanuatu","307.15"
"Venezuela (Bolivarian Republic of)","28435.943"
"Viet Nam","97338.583"
"Wallis and Futuna Islands","11.246"
"Western Africa","401861.255"
"Western Asia","279636.774"
"Western Europe","196146.321"
"Western Sahara","597.33"
"World","7794798.729"
"Yemen","29825.968"
"Zambia","18383.956"
"Zimbabwe","14862.927"
